NAME,HER_IDX,PSZ2_IDX,RA,DEC,z,M500/1e14,SNR,Tier,nH_LAB,RPS,t_RPS,REV,NVSS Separation,NVSS flux_20cm,VLASS Separation,VLASS flux
PSZ2 G040.58+77.12,86,148,13:49:24,+28:06:32,0.0748,2.57,7.62,1,1.15e+20,48,21,3685,0.0,0.0,0.0,0.0
PSZ2 G062.46-21.35,87,260,21:04:53,+14:01:27,0.1615,4.11,6.95,1,7.13e+20,49,40,,0.0,0.0,0.0,0.0
PSZ2 G028.63+50.15,88,99,15:40:09,+17:52:40,0.0916,3.17,6.91,1,2.62e+20,50,21,-,0.0,0.0,0.0,0.0
PSZ2 G216.62+47.00,89,976,9:49:52,+17:07:09,0.3826,8.47,9.83,2,3.08e+20,51,43,-,29.195361167968624,3.9,29.22509649910894,1.45734682664
PSZ2 G186.37+37.26,90,862,8:42:57,+36:22:03,0.282,11.0,18.86,2,2.93e+20,52,21,3552,0.0,0.0,0.0,0.0
PSZ2 G068.22+15.18 E,91,289,18:57:33,+38:01:09,0.0567,2.14,8.23,1,7.24e+20,53,21,3552,0.0,0.0,0.0,0.0
PSZ2 G068.22+15.18,92,289,18:57:38,+38:00:32,0.0567,2.14,8.23,1,7.24e+20,54,21,3552,6.3778187751716375,299.9,6.3825607730288105,159.7967766248
PSZ2 G228.16+75.20,93,1030,11:49:35,+22:24:08,0.545,9.79,11.42,2,1.92e+20,55,42,3670,0.0,0.0,0.0,0.0
PSZ2 G286.98+32.90,94,1341,11:50:49,-28:04:28,0.39,13.74,22.66,2,7.26e+20,56,21,3665,0.0,0.0,0.0,0.0
PSZ2 G106.87-83.23,95,518,0:43:25,-20:37:16,0.2924,7.73,12.65,2,1.84e+20,57,21,3571,0.0,0.0,0.0,0.0
PSZ2 G085.98+26.69,96,379,18:19:54,+57:09:22,0.179,4.17,9.34,1,3.89e+20,58,42,3597,0.0,0.0,0.0,0.0
PSZ2 G028.89+60.13,97,101,15:00:20,+21:22:10,0.153,4.47,7.52,1,3.37e+20,59,21,-,0.0,0.0,0.0,0.0
PSZ2 G259.98-63.43,98,1195,2:32:19,-44:20:46,0.2836,7.45,12.98,2,1.69e+20,60,21,-,0.0,0.0,0.0,0.0
PSZ2 G004.45-19.55,99,16,19:17:05,-33:31:20,0.54,10.09,9.07,2,5.9e+20,61,48,-,0.0,0.0,0.0,0.0
PSZ2 G087.03-57.37,100,391,23:37:38,+00:16:07,0.2779,7.33,11.19,2,3.54e+20,62,22,-,0.0,0.0,0.0,0.0
PSZ2 G071.63+29.78,101,302,17:47:14,+45:11:45,0.1565,4.13,8.71,1,2.74e+20,63,22,3625,0.0,0.0,0.0,0.0
PSZ2 G225.93-19.99,102,1016,6:00:08,-20:08:07,0.435,9.79,12.42,2,4.91e+20,64,26,-,0.0,0.0,0.0,0.0
PSZ2 G271.18-30.95,103,1260,5:49:20,-62:05:13,0.37,7.37,14.08,2,4.49e+20,65,46,3610,0.0,0.0,0.0,0.0
PSZ2 G241.11-28.68,104,1089,5:42:57,-35:59:49,0.42,7.36,9.02,2,2.99e+20,66,55,-,0.0,0.0,0.0,0.0
PSZ2 G073.97-27.82,105,315,21:53:37,+17:41:41,0.2329,9.52,19.09,2,6.2e+20,67,21,-,0.0,0.0,0.0,0.0
PSZ2 G092.71+73.46,106,422,13:35:18,+41:00:06,0.2279,8.0,17.63,2,8.18e+19,68,21,-,0.0,0.0,0.0,0.0
PSZ2 G187.53+21.92,107,867,7:32:20,+31:37:59,0.171,5.17,8.14,1,4.9e+20,69,21,-,0.0,0.0,0.0,0.0
PSZ2 G278.58+39.16,108,1292,11:31:54,-19:55:40,0.3075,8.29,12.16,2,4.02e+20,70,21,,19.658598641007238,31.6,3.72410498331631,4.71316169733
PSZ2 G218.81+35.51,109,984,9:09:13,+10:58:32,0.1751,5.24,8.43,1,3.18e+20,71,21,-,0.0,0.0,0.0,0.0
PSZ2 G049.32+44.37,110,200,16:20:30,+29:53:36,0.0972,3.76,7.99,1,2.57e+20,72,21,-,14.68793334189183,4.7,16.632400885635626,3.58405168165
PSZ2 G046.10+27.18,111,177,17:31:39,+22:51:57,0.389,7.84,9.0,2,5e+20,73,37,3607,13.022554873329751,18.9,12.812087275347826,7.67006034957
PSZ2 G210.64+17.09,112,951,7:48:47,+09:40:00,0.48,7.79,7.56,2,2.71e+20,74,60,-,0.0,0.0,0.0,0.0
PSZ2 G044.77-51.30,113,164,22:14:58,-14:00:14,0.5027,8.36,8.27,2,2.87e+20,75,53,-,0.0,0.0,0.0,0.0
PSZ2 G262.73-40.92,114,1210,4:38:17,-54:19:23,0.421,7.46,12.7,2,1.02e+20,76,42,-,0.0,0.0,0.0,0.0
PSZ2 G206.45+13.89,115,933,7:29:51,+11:56:28,0.41,7.46,7.3,2,5.79e+20,77,51,-,0.0,0.0,0.0,0.0
PSZ2 G094.69+26.36,116,437,18:32:31,+64:49:53,0.1623,3.08,7.72,1,4.41e+20,78,53,-,0.0,0.0,0.0,0.0
PSZ2 G155.27-68.42,117,750,1:37:25,-08:27:20,0.567,8.36,7.98,2,3.53e+20,79,51,3780,0.0,0.0,0.0,0.0
PSZ2 G083.29-31.03,118,358,22:28:34,+20:37:16,0.412,7.64,9.53,2,4.26e+20,80,30,3653,0.0,0.0,0.0,0.0
PSZ2 G201.50-27.31,119,913,4:54:11,-03:00:58,0.5377,8.3,7.11,2,3.91e+20,81,56,-,0.0,0.0,0.0,0.0
PSZ2 G042.81+56.61 NW,120,156,15:21:53,+27:52:56,0.0723,4.22,12.5,1,3.04e+20,82,21,-,0.0,0.0,0.0,0.0
PSZ2 G057.25-45.34,121,234,22:11:46,-03:49:47,0.397,9.62,12.46,2,5.53e+20,83,21,-,0.0,0.0,0.0,0.0
PSZ2 G111.61-45.71,122,540,0:18:33,+16:26:10,0.5456,8.5,9.68,2,3.99e+20,84,26,3763,0.0,0.0,0.0,0.0
